scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,p50_eval_ms,p95_eval_ms,p99_eval_ms,mean_eval_ms,cold_p50_ms,warm_p95_ms,snapshot_ms,snapshot_bytes,peak_build_kib,peak_total_kib
1,3,8,10,55,66,0,12,1.794447,3.263668,3.301457,2.026988,2.276199,3.265888,9.051191,43501,252.771,252.771
5,11,32,42,223,306,0,12,1.694423,3.21374,6.150266,1.978483,1.482863,3.172622,49.759097,207117,239.925,618.763
10,21,62,82,433,606,0,12,1.590491,2.862402,3.288563,1.806858,1.484071,2.89324,88.795865,412597,244.067,1166.304
20,41,122,162,853,1206,0,12,1.782258,3.467445,5.314343,2.062536,1.504532,3.468845,404.249752,822597,453.874,2256.121
40,81,242,322,1693,2406,0,12,1.61928,3.250328,3.614202,1.924148,1.54446,3.302479,358.130254,1642597,894.081,4447.076
