factor_level,formal_replication_index,formal_structural_seed,step_index,wall_latency_ms
1,0,101,16,0.835796
50,0,101,21,0.46997
20,0,101,17,0.226937
5,0,101,28,0.441652
50,0,101,11,0.888211
20,0,101,31,0.250257
5,0,101,13,0.622994
5,0,101,15,0.443236
1,0,101,4,0.437403
2,0,101,11,0.444139
50,0,101,6,0.453805
20,0,101,9,0.779173
2,0,101,12,0.858898
5,0,101,14,0.853573
2,0,101,3,0.739932
50,0,101,12,0.443035
5,0,101,8,0.4742
5,0,101,1,0.90406
50,0,101,22,0.567506
1,0,101,20,0.442715
20,0,101,11,0.453165
2,0,101,14,0.440141
1,0,101,26,0.446318
50,0,101,27,0.505585
50,0,101,3,0.45393
10,0,101,14,0.449421
50,0,101,1,0.94508
10,0,101,1,0.547022
5,0,101,29,0.128511
2,0,101,16,0.443459
2,0,101,20,1.009539
5,0,101,4,0.444833
2,0,101,30,0.473725
50,0,101,8,0.441078
1,0,101,3,0.474451
1,0,101,19,0.20856
20,0,101,20,0.512857
1,0,101,32,0.446933
1,0,101,17,0.226405
2,0,101,22,0.471936
20,0,101,30,0.46151
20,0,101,25,0.541741
1,0,101,21,0.970547
10,0,101,28,0.453807
10,0,101,3,0.453066
20,0,101,15,0.868487
50,0,101,17,0.226416
2,0,101,27,0.458675
1,0,101,28,0.454157
10,0,101,11,0.448498
1,0,101,31,0.260279
2,0,101,15,0.879371
5,0,101,10,0.440174
20,0,101,4,0.456838
50,0,101,2,0.902694
5,0,101,22,0.478966
2,0,101,13,0.62033
10,0,101,21,0.465653
1,0,101,9,0.835324
1,0,101,24,0.450676
20,0,101,3,0.465845
50,0,101,15,0.499018
5,0,101,5,0.44295
20,0,101,8,0.669244
5,0,101,31,0.493431
1,0,101,14,0.443987
2,0,101,2,0.537403
50,0,101,28,0.457011
10,0,101,12,0.448096
50,0,101,16,0.437803
10,0,101,19,0.213045
20,0,101,6,0.45241
5,0,101,17,0.224533
50,0,101,30,0.453581
2,0,101,32,0.868349
10,0,101,25,0.276923
50,0,101,10,0.440133
1,0,101,13,0.318876
2,0,101,19,0.211179
20,0,101,28,0.454013
5,0,101,24,0.450934
5,0,101,25,0.286777
10,0,101,7,0.45539
50,0,101,31,0.254703
1,0,101,30,0.870663
50,0,101,7,0.45189
10,0,101,18,0.86867
5,0,101,27,0.885495
2,0,101,10,0.861892
5,0,101,26,0.920674
2,0,101,24,0.450792
10,0,101,6,0.458876
20,0,101,32,0.441652
5,0,101,2,0.49839
20,0,101,29,0.121118
20,0,101,27,0.464506
20,0,101,21,0.457957
10,0,101,15,0.924167
2,0,101,1,0.618535
20,0,101,2,0.473832
20,0,101,26,0.452633
2,0,101,26,0.446181
10,0,101,10,0.840338
20,0,101,5,0.842538
2,0,101,4,0.44841
20,0,101,10,0.900789
5,0,101,12,0.439198
1,0,101,11,0.449296
1,0,101,25,0.485816
1,0,101,5,0.437302
2,0,101,7,0.438825
5,0,101,21,0.456496
50,0,101,13,0.310289
5,0,101,3,0.462839
50,0,101,29,0.122285
20,0,101,13,0.311629
1,0,101,2,0.488882
50,0,101,14,0.442329
2,0,101,17,0.227931
50,0,101,19,0.215272
5,0,101,11,0.47144
2,0,101,29,0.274584
5,0,101,6,0.462034
2,0,101,6,0.461816
1,0,101,12,0.446288
10,0,101,4,0.45637
1,0,101,29,0.121945
5,0,101,23,0.225312
20,0,101,24,0.441192
10,0,101,27,0.467228
20,0,101,18,0.51188
10,0,101,24,0.441073
50,0,101,9,0.925052
20,0,101,22,0.900419
2,0,101,8,2.442516
50,0,101,4,0.878774
1,0,101,27,0.964105
10,0,101,20,0.945878
10,0,101,26,0.817011
2,0,101,5,4.533799
20,0,101,23,0.500329
2,0,101,31,0.55227
50,0,101,25,0.752756
20,0,101,19,0.503989
5,0,101,7,1.393673
50,0,101,26,0.480753
1,0,101,8,0.448746
10,0,101,2,0.481765
5,0,101,30,0.882825
10,0,101,16,0.441011
1,0,101,6,0.453454
50,0,101,32,0.456188
10,0,101,22,0.451572
20,0,101,16,1.342018
