execution_id,campaign_id,factor,factor_level,replication_index,seed,canonical_instance_id,objective_id,session_id,status,step_count,successful_step_count,failed_step_count,sat_fail_count,real_empty_count,ceval_empty_count,phi_final,phi_weighted_final,auc_phi,evaluator_latency_p50_ms,evaluator_latency_p95_ms,evaluator_latency_p99_ms,configuration_digest,instance_digest,semantic_digest
e3-virtual-node-count-stage10-rep_009-strict-common-v1,virtual_node_count_stage10_c4,virtual_node_count,6,9,1767972531,level_000006/rep_009_seed_1767972531,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R009,S_E3_VIRTUAL_NODE_COUNT_STAGE10_REP_009_STRICT_COMMON::level_000006/rep_009_seed_1767972531,success,2,2,0,0,0,0,0.25,0.25,0.25,0.423988,0.521523,0.530193,f3f1328be2144477d0bec6268306651f5a0535cae6b18efa3b845f444c352bb0,991d7f17b9d9bece4b97dbb4638bbaac3c36ce67f90283a7af4448d00539473f,ae30b15958e7f0254cc8d55d200c061f7454d0dd60ec76ff291ba888cc4dfd17
e3-virtual-node-count-stage10-rep_009-strict-common-v1,virtual_node_count_stage10_c4,virtual_node_count,12,9,1767972531,level_000012/rep_009_seed_1767972531,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L12_R009,S_E3_VIRTUAL_NODE_COUNT_STAGE10_REP_009_STRICT_COMMON::level_000012/rep_009_seed_1767972531,success,2,2,0,0,0,0,0.25,0.25,0.25,0.393841,0.441675,0.445927,bdb60695bcb3e1a806390c18472c83091be735f49740619c26b573a2cfed11c1,329044942f48c35f32650354f4e012d27c862d139c7d912940e3f3db3ac03e79,e8618111f2394d4594dbd7afa9d7e041ffb1c37ec05744ee8c93f56027353bf5
e3-virtual-node-count-stage10-rep_009-strict-common-v1,virtual_node_count_stage10_c4,virtual_node_count,24,9,1767972531,level_000024/rep_009_seed_1767972531,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L24_R009,S_E3_VIRTUAL_NODE_COUNT_STAGE10_REP_009_STRICT_COMMON::level_000024/rep_009_seed_1767972531,success,2,2,0,0,0,0,0.25,0.25,0.25,0.510026,0.540804,0.54354,b320411065c5e6302dd7d1645a37722e828a843dc6e052be00a8f7e7e371f7ff,b1b33d10f143b42fa6aac5b182bd4f92f0bc31e8c7c3764460c24a9f3cd98bbe,3a05ae4ed8ceebd3b7ae690c04116c43f5d2cab37264838ee4e90f6e90ec40e9
