mode,step_idx,eval_ms,n_nodes,n_edges,history_len,removed_qp_nodes,snapshot_bytes
no_compaction,1,0.768482,655,809,0,0,
no_compaction,10,0.554906,664,823,0,0,
no_compaction,20,0.551026,674,836,0,0,
no_compaction,30,0.72555,684,850,0,0,
no_compaction,40,0.58544,694,863,0,0,
no_compaction,50,0.546145,704,876,0,0,
no_compaction,60,0.407056,714,890,0,0,
no_compaction,70,0.269214,724,903,0,0,
no_compaction,80,0.824265,734,916,0,0,
no_compaction,90,0.692918,744,930,0,0,
no_compaction,100,1.619627,754,943,0,0,
no_compaction,110,0.572024,764,956,0,0,
no_compaction,120,0.671824,774,970,0,0,
no_compaction,120,0.0,774,970,0,0,569626
keep_last,1,0.352192,655,809,0,0,
keep_last,10,0.282565,662,821,0,1,
keep_last,20,0.280889,662,820,0,1,
keep_last,30,0.382203,662,821,0,1,
keep_last,40,0.279345,662,821,0,1,
keep_last,50,0.283037,662,820,0,1,
keep_last,60,0.365827,662,821,0,1,
keep_last,70,0.270715,662,821,0,1,
keep_last,80,0.281507,662,820,0,1,
keep_last,90,0.364648,662,821,0,1,
keep_last,100,0.27721,662,821,0,1,
keep_last,110,0.304576,662,820,0,1,
keep_last,120,0.37414,662,821,0,1,
keep_last,120,0.0,662,821,0,0,445446
