scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,p50_eval_ms,p95_eval_ms,p99_eval_ms,mean_eval_ms,cold_p50_ms,warm_p95_ms,snapshot_ms,snapshot_bytes,peak_build_kib,peak_total_kib
1,3,8,10,55,66,0,12,2.701838,3.935693,4.487752,2.671541,2.756721,3.941176,8.932515,43501,252.771,252.771
5,11,32,42,223,306,0,12,1.510632,3.30455,3.942645,1.802954,1.47044,3.351321,39.59247,207117,239.982,618.763
10,21,62,82,433,606,0,12,1.462686,1.891393,2.700235,1.60251,1.462619,1.891393,77.966517,412597,244.067,1166.304
20,41,122,162,853,1206,0,12,1.466121,1.839732,2.299032,1.582293,1.461915,1.839732,158.73983,822597,453.874,2256.063
40,81,242,322,1693,2406,0,12,1.549064,2.864236,3.761226,1.760411,1.540851,2.877673,334.331601,1642597,894.081,4447.076
