scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,p50_eval_ms,p95_eval_ms,p99_eval_ms,mean_eval_ms,cold_p50_ms,warm_p95_ms,snapshot_ms,snapshot_bytes,peak_build_kib,peak_total_kib
1,3,8,10,55,66,0,12,1.501773,1.886667,2.031167,1.60221,1.804725,1.881107,15.273152,43501,252.771,252.771
5,11,32,42,223,306,0,12,1.508521,3.440881,4.572655,1.84487,1.473213,3.64365,39.556583,207117,239.982,618.82
10,21,62,82,433,606,0,12,1.456249,1.858206,2.277188,1.583791,1.461936,1.860493,118.048423,412597,244.067,1166.304
20,41,122,162,853,1206,0,12,1.496636,3.041131,3.772807,1.741977,1.473455,3.02217,188.813594,822597,453.874,2256.121
40,81,242,322,1693,2406,0,12,1.535212,1.967695,3.049529,1.705165,1.535649,1.96917,324.961849,1642597,894.081,4447.076
