mode,step_idx,eval_ms,n_nodes,n_edges,history_len,removed_qp_nodes,snapshot_bytes
no_compaction,1,0.378522,655,809,0,0,
no_compaction,10,0.279078,664,823,0,0,
no_compaction,20,0.270579,674,836,0,0,
no_compaction,30,0.363341,684,850,0,0,
no_compaction,40,0.274997,694,863,0,0,
no_compaction,50,0.27131,704,876,0,0,
no_compaction,60,0.36643,714,890,0,0,
no_compaction,70,0.279809,724,903,0,0,
no_compaction,80,0.275493,734,916,0,0,
no_compaction,90,0.365123,744,930,0,0,
no_compaction,100,0.308936,754,943,0,0,
no_compaction,110,0.270357,764,956,0,0,
no_compaction,120,0.35367,774,970,0,0,
no_compaction,120,0.0,774,970,0,0,569626
keep_last,1,0.419361,655,809,0,0,
keep_last,10,0.280452,662,821,0,1,
keep_last,20,0.271326,662,820,0,1,
keep_last,30,0.368281,662,821,0,1,
keep_last,40,0.49137,662,821,0,1,
keep_last,50,0.607283,662,820,0,1,
keep_last,60,0.412843,662,821,0,1,
keep_last,70,0.290729,662,821,0,1,
keep_last,80,0.274976,662,820,0,1,
keep_last,90,0.359489,662,821,0,1,
keep_last,100,0.279903,662,821,0,1,
keep_last,110,0.27243,662,820,0,1,
keep_last,120,0.36785,662,821,0,1,
keep_last,120,0.0,662,821,0,0,445446
