scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,snapshot_bytes
1,3,8,10,55,66,0,12,43501
5,11,32,42,223,306,0,12,207117
10,21,62,82,433,606,0,12,412597
20,41,122,162,853,1206,0,12,822597
40,81,242,322,1693,2406,0,12,1642597
