policy;n_sessions;mean_phi_final;mean_auc_phi;reach_rate_0_8;reach_rate_0_9;mean_time_to_0_8;mean_time_to_0_9;mean_false_allow_rate;mean_false_block_rate;mean_non_contrib_exec_rate;mean_sat_fail_rate;mean_real_empty_rate;mean_ceval_empty_rate;latency_p50_ms;latency_p95_ms;latency_p99_ms;latency_cold_p50_ms;latency_warm_p50_ms
ablation_ceval_any_intersection;240;0.5;0.145139;0.25;0.25;8.0;8.0;0.08125;0.0;0.1875;0.670833;0.0;0.0;0.192375;0.460474;0.624411;0.2015;0.219175
ablation_no_real;240;0.5;0.145139;0.25;0.25;8.0;8.0;0.08125;0.0;0.1875;0.670833;0.0;0.08125;0.200325;0.369291;0.670817;0.2115;0.227825
ablation_no_sat;240;0.5;0.145139;0.25;0.25;8.0;8.0;0.041667;0.0;0.125;0.670833;0.0;0.08125;0.240075;0.538019;1.016072;0.2467;0.237475
baseline_measure_overlap;240;0.5;0.145139;0.25;0.25;8.0;8.0;0.660417;0.0;0.73125;0.0;0.0;0.0;0.0042;0.02159;0.029777;0.01775;0.00405
baseline_naive;240;0.5;0.145139;0.25;0.25;8.0;8.0;0.752083;0.0;0.752083;0.0;0.0;0.0;0.0004;0.001841;0.002858;0.0012;0.0004
baseline_random_matched;240;0.119444;0.0325;0.008333;0.008333;8.0;8.0;0.211597;0.185833;0.650556;0.0;0.0;0.0;0.0005;0.00415;0.007318;0.0035;0.0005
mcad;240;0.5;0.145139;0.25;0.25;8.0;8.0;0.0;0.0;0.0;0.670833;0.0;0.08125;0.196425;0.466646;0.695083;0.20655;0.22275
