scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,p50_eval_ms,p95_eval_ms,p99_eval_ms,mean_eval_ms,cold_p50_ms,warm_p95_ms,snapshot_ms,snapshot_bytes,peak_build_kib,peak_total_kib
1,3,8,10,55,66,0,12,1.470688,1.83217,2.04095,1.597894,1.78595,1.819056,12.027232,43501,252.771,252.771
5,11,32,42,223,306,0,12,1.526923,3.172555,3.335119,1.790524,1.516209,3.093072,49.27171,207117,239.982,618.82
10,21,62,82,433,606,0,12,1.509505,2.952329,3.436829,1.790386,1.485107,2.963274,90.06413,412597,244.067,1166.304
20,41,122,162,853,1206,0,12,1.793934,3.423436,4.867961,2.055993,1.505787,3.423436,383.250351,822597,453.874,2256.121
40,81,242,322,1693,2406,0,12,1.855764,3.518854,4.162221,2.023012,1.552018,3.535237,363.490718,1642597,894.081,4447.076
