execution_id,campaign_id,factor,factor_level,replication_index,seed,canonical_instance_id,objective_id,session_id,status,step_count,successful_step_count,failed_step_count,sat_fail_count,real_empty_count,ceval_empty_count,phi_final,phi_weighted_final,auc_phi,evaluator_latency_p50_ms,evaluator_latency_p95_ms,evaluator_latency_p99_ms,configuration_digest,instance_digest,semantic_digest
sa5-objective-count-stage10-rep_000-canonical-v1,objective_count_stage10_c8_nv32,objective_count,1,0,101,level_000001/rep_000_seed_101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R000_OBJ0001,sa5-objective-count-stage10-session-rep-000-seed-101::level_000001/rep_000_seed_101,success,32,32,0,7,7,7,1.0,1.0,0.601562,0.899147,1.419151,2.822193,e1c9064df2912793abe848d98a45d715f1ff07c9a619469dee4c1e18e10c74b1,025ab1c71f9cc2c202c70ed9e131623f3b45f06660e8c2fefb4634468a47f98a,a34470f3bd5f94f1288b38e163928de1a3a8fbe2c81348c29e1dda84313fe225
sa5-objective-count-stage10-rep_000-canonical-v1,objective_count_stage10_c8_nv32,objective_count,2,0,101,level_000002/rep_000_seed_101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L2_R000_OBJ0001,sa5-objective-count-stage10-session-rep-000-seed-101::level_000002/rep_000_seed_101,success,32,32,0,7,7,7,1.0,1.0,0.601562,0.458584,0.514032,0.536943,f646106963783b770b1ef21f93256e83f47f83369bdfad7d8aa7d8b8ecb16bec,6244ef12d4518269c0503f3b9a7a932cd64b256864b05fc5593fafa06d31b1da,fcea7968002134af8b9c27e040c0d148d6bfb6f8adf272e94b8371cef51abe54
sa5-objective-count-stage10-rep_000-canonical-v1,objective_count_stage10_c8_nv32,objective_count,5,0,101,level_000005/rep_000_seed_101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L5_R000_OBJ0001,sa5-objective-count-stage10-session-rep-000-seed-101::level_000005/rep_000_seed_101,success,32,32,0,7,7,7,1.0,1.0,0.601562,0.488043,1.110838,1.669251,677b38e4db7661e4513566bb9cdbd1e3cfe856059b4bec02d6bf05036d51437d,049410eec9bce69be18f1671c77debd862293c8b5d311bf9311f09c9eecdee58,461e2444e377fdf5518cf184412f037bff60ba2354c695924de3e03b6e5f5581
sa5-objective-count-stage10-rep_000-canonical-v1,objective_count_stage10_c8_nv32,objective_count,10,0,101,level_000010/rep_000_seed_101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L10_R000_OBJ0001,sa5-objective-count-stage10-session-rep-000-seed-101::level_000010/rep_000_seed_101,success,32,32,0,7,7,7,1.0,1.0,0.601562,0.457041,0.556201,0.588386,763bc173eaabea56ac9c689b7d5e440afb1315e90619e692dca25c5db663b72a,fa418a7df4b6014683dbb22a806526bfcb20a8f3ad907785dc2be2556dc9c2e5,8b078e5852b752ec551946ee31e99b4908cc67445274293ea3e73d259809636f
sa5-objective-count-stage10-rep_000-canonical-v1,objective_count_stage10_c8_nv32,objective_count,20,0,101,level_000020/rep_000_seed_101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L20_R000_OBJ0001,sa5-objective-count-stage10-session-rep-000-seed-101::level_000020/rep_000_seed_101,success,32,32,0,7,7,7,1.0,1.0,0.601562,0.46114,0.525985,0.557418,fbbf06b3ae649a30c03791719cb3a18417483ea4765043908443a97f29028028,b29c85ea93a85b417bb1518594db0a4cea7b331ad4509009cf43af9d5093e31b,76c89e423570a29ed5c4537f84e1669653cd81e6cd1b4b2b4d125da6e4faaf7d
sa5-objective-count-stage10-rep_000-canonical-v1,objective_count_stage10_c8_nv32,objective_count,50,0,101,level_000050/rep_000_seed_101,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L50_R000_OBJ0001,sa5-objective-count-stage10-session-rep-000-seed-101::level_000050/rep_000_seed_101,success,32,32,0,7,7,7,1.0,1.0,0.601562,0.471662,0.590938,0.67196,f3063a2ab1b7825d07edb5a806ab81767f728553c675ee351ab5925d071033e3,5ccb03d2f931cc5e230a2382d2378968f8a1940caeccf0dc68dca8a61eb3fd9f,3571038ccd5913aba7f445e22cbf4876abf1d7654e32ea24f9e0c16dce470576
