key,name,size_bytes,sha256
ui_intact,MCAD_improve3-main (UI intact)(1).zip,38550892,c2ae0f44acd83aafc2859679543e6b156e38653e3130e70f4eeff2bdaef00533
ui_abc_freeze,MCAD_improve3-paper-freeze-ui-abc-evidence(1).zip,62610289,29a37368d0bd66b633277883e066e4e03b35127cab5e35a9c76499b070e3b86a
downloads,MCAD_downloads.zip,18876248,7f39382a3c0da3576037dc0788c46085892213d241b2200a655ac8c0d548250b
main3,MCAD_improve3-main(3).zip,31761834,5e11b09a12c51fdd3740e35e4908a3e8d6f5882241b5ed66212744a265df9278
