execution_id,campaign_id,factor,factor_level,replication_index,seed,canonical_instance_id,objective_id,session_id,status,step_count,successful_step_count,failed_step_count,sat_fail_count,real_empty_count,ceval_empty_count,phi_final,phi_weighted_final,auc_phi,evaluator_latency_p50_ms,evaluator_latency_p95_ms,evaluator_latency_p99_ms,configuration_digest,instance_digest,semantic_digest
sa5-objective-count-stage10-rep_009-canonical-v1,objective_count_stage10_c8_nv32,objective_count,1,9,1767972531,level_000001/rep_009_seed_1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R009_OBJ0001,sa5-objective-count-stage10-session-rep-009-seed-1767972531::level_000001/rep_009_seed_1767972531,success,32,32,0,7,7,7,1.0,1.0,0.550781,0.458811,0.632462,0.762905,29c3101dc884c2d17f94c3400af63ec5cd121cfdea8c3ffb17c4e0f3b8e2af21,d10f3139dc7c018f0a35440ca19490cd128a66294324651493b4298345e004ab,0608f340e2131ae390509aa66dc2411e3c2ae505fe92040d8abe4a201cbb8e70
sa5-objective-count-stage10-rep_009-canonical-v1,objective_count_stage10_c8_nv32,objective_count,2,9,1767972531,level_000002/rep_009_seed_1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L2_R009_OBJ0001,sa5-objective-count-stage10-session-rep-009-seed-1767972531::level_000002/rep_009_seed_1767972531,success,32,32,0,7,7,7,1.0,1.0,0.550781,0.460502,0.520278,0.560651,7e9b35e742d326e5aa5e231120d224c8cb65131d708fb2bbf8659cdb70050d2e,1f3717da2eafcd31e8f1422f8fd2408dcf9597fcf8083e46ae1628e1c715129a,9c9a360b88b76437fea6c34e7cf92400f10d60666cbca8b510f5984fd184c3ae
sa5-objective-count-stage10-rep_009-canonical-v1,objective_count_stage10_c8_nv32,objective_count,5,9,1767972531,level_000005/rep_009_seed_1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L5_R009_OBJ0001,sa5-objective-count-stage10-session-rep-009-seed-1767972531::level_000005/rep_009_seed_1767972531,success,32,32,0,7,7,7,1.0,1.0,0.550781,0.454449,0.539135,0.561554,bed27b3a46449efdd17473ce35b95348451efa02ba17a6ca5461f42fb5e5998d,34c62a2e3bcc0e7e4caaa89072023ce36562e010d5209e4bf7e17c0aef2fa24d,66f92bead97ffb75eef0adafcf0dba0c3f5959bb0cb2044a551d1024d3b4f3e7
sa5-objective-count-stage10-rep_009-canonical-v1,objective_count_stage10_c8_nv32,objective_count,10,9,1767972531,level_000010/rep_009_seed_1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L10_R009_OBJ0001,sa5-objective-count-stage10-session-rep-009-seed-1767972531::level_000010/rep_009_seed_1767972531,success,32,32,0,7,7,7,1.0,1.0,0.550781,0.455567,0.552583,0.615058,e173273fb784771eb0d16283210630a1aac062933d80e229f98e2f277005b115,2e3794416de781f9468acbe476ac2ea2f28dfc74439bc2467af95e819bd5ddf8,91c667f771f27d8a6ae1f5aecc3f03d5abe445b78f84d31a01270bd04e698bbc
sa5-objective-count-stage10-rep_009-canonical-v1,objective_count_stage10_c8_nv32,objective_count,20,9,1767972531,level_000020/rep_009_seed_1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L20_R009_OBJ0001,sa5-objective-count-stage10-session-rep-009-seed-1767972531::level_000020/rep_009_seed_1767972531,success,32,32,0,7,7,7,1.0,1.0,0.550781,0.458696,0.564097,0.577365,28fd7670bf577838d652b7bc2c30fcb6d341b4933153ae2efe18051322052d25,ff0ee8c365570a66de8cdde4a5c357bd81d57628334eda8174f31682d629ad17,f69d104008ef5b923a582515411c9a83a21aaf3837169f5c417445254c8d04d8
sa5-objective-count-stage10-rep_009-canonical-v1,objective_count_stage10_c8_nv32,objective_count,50,9,1767972531,level_000050/rep_009_seed_1767972531,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L50_R009_OBJ0001,sa5-objective-count-stage10-session-rep-009-seed-1767972531::level_000050/rep_009_seed_1767972531,success,32,32,0,7,7,7,1.0,1.0,0.550781,0.464991,0.535562,0.583367,cce4fcc0f3d88a703234e72a625ae467969238b0fb2747ce73df054813f0279c,bc85f9ae0abd750318a1c3fd7109c2e5ffae73917f222be8459cabbea0dc635e,8f661ddadb483e372f89a779b6e30318c6244c7605e2d7a36e9105a324e281c4
