mode,step_idx,eval_ms,n_nodes,n_edges,history_len,removed_qp_nodes,snapshot_bytes
no_compaction,1,2.651851,655,809,0,0,
no_compaction,10,0.496095,664,823,0,0,
no_compaction,20,0.491962,674,836,0,0,
no_compaction,30,0.655362,684,850,0,0,
no_compaction,40,0.508323,694,863,0,0,
no_compaction,50,0.42482,704,876,0,0,
no_compaction,60,0.671506,714,890,0,0,
no_compaction,70,0.517276,724,903,0,0,
no_compaction,80,0.434553,734,916,0,0,
no_compaction,90,0.65747,744,930,0,0,
no_compaction,100,0.540991,754,943,0,0,
no_compaction,110,0.483413,764,956,0,0,
no_compaction,120,0.661582,774,970,0,0,
no_compaction,120,0.0,774,970,0,0,569626
keep_last,1,3.080484,655,809,0,0,
keep_last,10,0.590726,662,821,0,1,
keep_last,20,0.523257,662,820,0,1,
keep_last,30,0.992711,662,821,0,1,
keep_last,40,0.774041,662,821,0,1,
keep_last,50,0.277638,662,820,0,1,
keep_last,60,0.393144,662,821,0,1,
keep_last,70,0.283407,662,821,0,1,
keep_last,80,0.271181,662,820,0,1,
keep_last,90,0.406066,662,821,0,1,
keep_last,100,0.287167,662,821,0,1,
keep_last,110,0.272783,662,820,0,1,
keep_last,120,0.362367,662,821,0,1,
keep_last,120,0.0,662,821,0,0,445446
