scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,p50_eval_ms,p95_eval_ms,p99_eval_ms,mean_eval_ms,cold_p50_ms,warm_p95_ms,snapshot_ms,snapshot_bytes,peak_build_kib,peak_total_kib
1,3,8,10,55,66,0,12,1.508555,2.162718,2.509213,1.675993,1.78571,2.168229,10.594221,43501,252.771,252.771
5,11,32,42,223,306,0,12,1.71426,3.380992,4.029478,1.934709,1.517483,3.400347,40.904149,207117,239.982,618.82
10,21,62,82,433,606,0,12,1.76735,3.519697,5.635449,2.043336,1.472476,3.523367,79.100456,412597,244.067,1166.304
20,41,122,162,853,1206,0,12,1.471164,2.044209,3.052011,1.632382,1.464239,1.966702,158.160649,822597,453.874,2256.121
40,81,242,322,1693,2406,0,12,1.580361,4.176775,8.105856,2.09135,1.549826,4.19162,349.505275,1642597,894.081,4447.076
