step,formal_sat,failed_sat_clauses,nvac_ok,nvac_method,ceval,delta_phi,decision,reason_code,measures,grain,slicers,mdx,execution_status,execution_path,adapter_id,selected_dw_id,physical_execution,blocked_before_execution,status_code,elapsed_ms,response_bytes,response_digest,xmla_response_type,row_count
1,True,,True,hybrid_probe,aw_real_c1_sales_amount,0.3333333333333333,ALLOW,ALLOW_NEW_TOTAL,SalesAmount,Date.Calendar;Date.Month;Measures.SalesAmount;Sales Territory.Sales Territory;Sales Territory.Sales Territory Region,"{""Product.Product Category"": ""Bikes"", ""Sales Territory.Sales Territory Group"": ""Europe"", ""Date.Calendar Year"": ""2013""}","SELECT {[Measures].[SalesAmount]} ON COLUMNS, CrossJoin([Date].[Calendar].[Month].Members, [Sales Territory].[Sales Territory].[Sales Territory Region].Members) ON ROWS FROM [Adventure Works DW] WHERE ([Product].[Product Category].[Bikes], [Sales Territory].[Sales Territory Group].[Europe], [Date].[Calendar Year].[2013])",EXECUTED,sqlserver_direct,adventureworks_direct,adventureworks_sql_direct,True,False,200,49,9275,50ab82f87826fcad,,36
2,True,,True,hybrid_probe,aw_real_c2_total_product_cost,0.3333333333333333,ALLOW,ALLOW_NEW_TOTAL,TotalProductCost,Date.Calendar;Date.Month;Measures.TotalProductCost;Sales Territory.Sales Territory;Sales Territory.Sales Territory Region,"{""Product.Product Category"": ""Bikes"", ""Sales Territory.Sales Territory Group"": ""Europe"", ""Date.Calendar Year"": ""2013""}","SELECT {[Measures].[TotalProductCost]} ON COLUMNS, CrossJoin([Date].[Calendar].[Month].Members, [Sales Territory].[Sales Territory].[Sales Territory Region].Members) ON ROWS FROM [Adventure Works DW] WHERE ([Product].[Product Category].[Bikes], [Sales Territory].[Sales Territory Group].[Europe], [Date].[Calendar Year].[2013])",EXECUTED,sqlserver_direct,adventureworks_direct,adventureworks_sql_direct,True,False,200,49,9455,f3012474ae5c4255,,36
3,True,,True,hybrid_probe,aw_real_c3_gross_margin,0.3333333333333333,ALLOW,ALLOW_NEW_TOTAL,GrossMargin,Date.Calendar;Date.Month;Measures.GrossMargin;Sales Territory.Sales Territory;Sales Territory.Sales Territory Region,"{""Product.Product Category"": ""Bikes"", ""Sales Territory.Sales Territory Group"": ""Europe"", ""Date.Calendar Year"": ""2013""}","SELECT {[Measures].[GrossMargin]} ON COLUMNS, CrossJoin([Date].[Calendar].[Month].Members, [Sales Territory].[Sales Territory].[Sales Territory Region].Members) ON ROWS FROM [Adventure Works DW] WHERE ([Product].[Product Category].[Bikes], [Sales Territory].[Sales Territory Group].[Europe], [Date].[Calendar Year].[2013])",EXECUTED,sqlserver_direct,adventureworks_direct,adventureworks_sql_direct,True,False,200,50,9266,8a4cc85806217b90,,36
4,True,,True,hybrid_probe,,0.0,BLOCK,BLOCK_OUT_OF_OBJECTIVE_SCOPE,SalesAmount,Date.Calendar;Date.Month;Measures.SalesAmount;Sales Territory.Sales Territory;Sales Territory.Sales Territory Region,"{""Product.Product Category"": ""Accessories"", ""Sales Territory.Sales Territory Group"": ""Europe"", ""Date.Calendar Year"": ""2013""}","SELECT {[Measures].[SalesAmount]} ON COLUMNS, CrossJoin([Date].[Calendar].[Month].Members, [Sales Territory].[Sales Territory].[Sales Territory Region].Members) ON ROWS FROM [Adventure Works DW] WHERE ([Product].[Product Category].[Accessories], [Sales Territory].[Sales Territory Group].[Europe], [Date].[Calendar Year].[2013])",MCAD_BLOCKED,,,adventureworks_sql_direct,False,True,,,,,,
5,False,grain_ok,True,hybrid_probe,,0.0,BLOCK,BLOCK_GRAIN_MISMATCH,SalesAmount,Date.Calendar;Date.Calendar Year;Measures.SalesAmount;Sales Territory.Sales Territory;Sales Territory.Sales Territory Region,"{""Product.Product Category"": ""Bikes"", ""Sales Territory.Sales Territory Group"": ""Europe"", ""Date.Calendar Year"": ""2013""}","SELECT {[Measures].[SalesAmount]} ON COLUMNS, CrossJoin([Date].[Calendar].[Calendar Year].Members, [Sales Territory].[Sales Territory].[Sales Territory Region].Members) ON ROWS FROM [Adventure Works DW] WHERE ([Product].[Product Category].[Bikes], [Sales Territory].[Sales Territory Group].[Europe], [Date].[Calendar Year].[2013])",MCAD_BLOCKED,,,adventureworks_sql_direct,False,True,,,,,,
6,True,,True,hybrid_probe,,0.0,BLOCK,BLOCK_REDUNDANT_DPHI_ZERO,SalesAmount,Date.Calendar;Date.Month;Measures.SalesAmount;Sales Territory.Sales Territory;Sales Territory.Sales Territory Region,"{""Product.Product Category"": ""Bikes"", ""Sales Territory.Sales Territory Group"": ""Europe"", ""Date.Calendar Year"": ""2013""}","SELECT {[Measures].[SalesAmount]} ON COLUMNS, CrossJoin([Date].[Calendar].[Month].Members, [Sales Territory].[Sales Territory].[Sales Territory Region].Members) ON ROWS FROM [Adventure Works DW] WHERE ([Product].[Product Category].[Bikes], [Sales Territory].[Sales Territory Group].[Europe], [Date].[Calendar Year].[2013])",MCAD_BLOCKED,,,adventureworks_sql_direct,False,True,,,,,,
