execution_id,campaign_id,factor,factor_level,replication_index,seed,canonical_instance_id,objective_id,session_id,status,step_count,successful_step_count,failed_step_count,sat_fail_count,real_empty_count,ceval_empty_count,phi_final,phi_weighted_final,auc_phi,evaluator_latency_p50_ms,evaluator_latency_p95_ms,evaluator_latency_p99_ms,configuration_digest,instance_digest,semantic_digest
sa5-objective-count-stage10-rep_005-canonical-v1,objective_count_stage10_c8_nv32,objective_count,1,5,809989256,level_000001/rep_005_seed_809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R005_OBJ0001,sa5-objective-count-stage10-session-rep-005-seed-809989256::level_000001/rep_005_seed_809989256,success,32,32,0,7,7,7,1.0,1.0,0.59375,0.456426,0.535309,0.703221,6fa86583808546b43355dbb37bdc72645d402e7e8bfee98c646b4b489396baa9,48ae40a80bd48fb72f2c350fbb17c4688deb141f8d683278cd7deb31585200d0,3202792de23f87f4cdc01d2416010bf16319990376cb09407d7d4e2105c3cc5d
sa5-objective-count-stage10-rep_005-canonical-v1,objective_count_stage10_c8_nv32,objective_count,2,5,809989256,level_000002/rep_005_seed_809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L2_R005_OBJ0001,sa5-objective-count-stage10-session-rep-005-seed-809989256::level_000002/rep_005_seed_809989256,success,32,32,0,7,7,7,1.0,1.0,0.59375,0.457383,0.511056,0.53235,b44c943cc59ff1194a23d17296ff9b912835d2acec185d98e79dae198ba42393,20d525132157258e97dad37426c6f172b1b0bc0e6d1aa6990d916a1edb07ccbd,64606b78c2b96f9f1ee5446aa1829b6569cd8ca9e4ede4078a25adc9a7daa4c6
sa5-objective-count-stage10-rep_005-canonical-v1,objective_count_stage10_c8_nv32,objective_count,5,5,809989256,level_000005/rep_005_seed_809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L5_R005_OBJ0001,sa5-objective-count-stage10-session-rep-005-seed-809989256::level_000005/rep_005_seed_809989256,success,32,32,0,7,7,7,1.0,1.0,0.59375,0.457741,0.540441,0.577183,8ed1b92f02231efb795593109e12e2fd451903579a119420cff1c097ac8083d0,e87729173cf6aa3cc1430db4ec6d562fc47c6fbada4765ea6a43242303f8102b,442ab9f9839038a6d5eaa69c89c138a366c09347ccac798c9cea1e121111f845
sa5-objective-count-stage10-rep_005-canonical-v1,objective_count_stage10_c8_nv32,objective_count,10,5,809989256,level_000010/rep_005_seed_809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L10_R005_OBJ0001,sa5-objective-count-stage10-session-rep-005-seed-809989256::level_000010/rep_005_seed_809989256,success,32,32,0,7,7,7,1.0,1.0,0.59375,0.459395,0.563894,0.745763,4c1f50be64c42b51d244e13dcb96dc86c3d5bda2fcb3bd2d27b048c49be97da4,6c054581557abd42ddc7060e191a62644723133e93afa4f1e044be057ef63012,00e71c9e3d47f268fd9f326fddc8cea4f9f138611759fe7de8c5b5a562f1d70b
sa5-objective-count-stage10-rep_005-canonical-v1,objective_count_stage10_c8_nv32,objective_count,20,5,809989256,level_000020/rep_005_seed_809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L20_R005_OBJ0001,sa5-objective-count-stage10-session-rep-005-seed-809989256::level_000020/rep_005_seed_809989256,success,32,32,0,7,7,7,1.0,1.0,0.59375,1.012479,3.47209,4.956358,242fc8dfe9f714c046b8f878edc22b4a06f7ab74b65030198dc48aff43058bfd,983aa4e5a83676dd692f76d0235c3b39745530fdfcd3c3447eff6f5515e10bc5,b67095b1682d7b1624d03e631d7e917cd11a91724bd63a743509c6165133bf63
sa5-objective-count-stage10-rep_005-canonical-v1,objective_count_stage10_c8_nv32,objective_count,50,5,809989256,level_000050/rep_005_seed_809989256,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L50_R005_OBJ0001,sa5-objective-count-stage10-session-rep-005-seed-809989256::level_000050/rep_005_seed_809989256,success,32,32,0,7,7,7,1.0,1.0,0.59375,0.459395,0.536323,0.588184,5b3169b3f9d8e16f289f5788ae8811bb87c9468945ba8f8646ce0f7e194503dd,489c448f96da26e0b76771534c071c3b5fd6dc20c9794a52f546f6f9e6eb414f,fe1605de53c2542ad8c0868a8394e0570816dd73a05a9046fbef784a37568865
