artifact,expected_sha256,observed_sha256,status,role
MCAD_V8_7_6_A7_CANDIDATE_PACKAGE.zip,19c61f0bdf10bd22d522e359a54f56e97f686f90ed825ef789effa43141d32ea,19c61f0bdf10bd22d522e359a54f56e97f686f90ed825ef789effa43141d32ea,PASS,canonical A7 scientific input
MCAD_A7_EXISTING_ABLATION_CLAIM_CONSOLIDATION.zip,d68e21d3f6dd37c20d92fb66ed71a854c3b56fefb110c2d7a0de147bb59049b9,d68e21d3f6dd37c20d92fb66ed71a854c3b56fefb110c2d7a0de147bb59049b9,PASS,A7 audit lineage input
