scenario_id,objective_id,dataset_id,dw_id,candidate_query_count,profile_id,target_category,target_state,complexity_level,virtual_node_depth,superposition_width,objective_file,scenario_file,validation_status,state,category,profile,runtime_feasible_status,exclusion_reason
fm_a_category_state_profitability_beer_and_wine_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_BEER_AND_WINE_BC,foodmart,foodmart,12,category_state_profitability,Beer and Wine,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_beer_and_wine_bc.json,pending_physical_execution,BC,beer_and_wine,category_state_profitability,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_category_state_profitability_dairy_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_DAIRY_BC,foodmart,foodmart,12,category_state_profitability,Dairy,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_dairy_bc.json,pending_physical_execution,BC,dairy,category_state_profitability,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_category_state_profitability_produce_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_PRODUCE_BC,foodmart,foodmart,12,category_state_profitability,Produce,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_produce_bc.json,pending_physical_execution,BC,produce,category_state_profitability,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_category_state_profitability_snack_foods_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_SNACK_FOODS_BC,foodmart,foodmart,12,category_state_profitability,Snack Foods,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_snack_foods_bc.json,pending_physical_execution,BC,snack_foods,category_state_profitability,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_category_state_profitability_canned_foods_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_CANNED_FOODS_BC,foodmart,foodmart,12,category_state_profitability,Canned Foods,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_canned_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_canned_foods_bc.json,pending_physical_execution,BC,canned_foods,category_state_profitability,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_category_state_profitability_frozen_foods_bc,O_FM_A_CATEGORY_STATE_PROFITABILITY_FROZEN_FOODS_BC,foodmart,foodmart,12,category_state_profitability,Frozen Foods,BC,3,2,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_category_state_profitability_frozen_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_category_state_profitability_frozen_foods_bc.json,pending_physical_execution,BC,frozen_foods,category_state_profitability,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_coverage_and_guard_mix_beer_and_wine_bc,O_FM_A_COVERAGE_AND_GUARD_MIX_BEER_AND_WINE_BC,foodmart,foodmart,12,coverage_and_guard_mix,Beer and Wine,BC,4,3,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_coverage_and_guard_mix_beer_and_wine_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_coverage_and_guard_mix_beer_and_wine_bc.json,pending_physical_execution,BC,beer_and_wine,coverage_and_guard_mix,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_coverage_and_guard_mix_dairy_bc,O_FM_A_COVERAGE_AND_GUARD_MIX_DAIRY_BC,foodmart,foodmart,12,coverage_and_guard_mix,Dairy,BC,4,3,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_coverage_and_guard_mix_dairy_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_coverage_and_guard_mix_dairy_bc.json,pending_physical_execution,BC,dairy,coverage_and_guard_mix,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_coverage_and_guard_mix_produce_bc,O_FM_A_COVERAGE_AND_GUARD_MIX_PRODUCE_BC,foodmart,foodmart,12,coverage_and_guard_mix,Produce,BC,4,3,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_coverage_and_guard_mix_produce_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_coverage_and_guard_mix_produce_bc.json,pending_physical_execution,BC,produce,coverage_and_guard_mix,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_coverage_and_guard_mix_snack_foods_bc,O_FM_A_COVERAGE_AND_GUARD_MIX_SNACK_FOODS_BC,foodmart,foodmart,12,coverage_and_guard_mix,Snack Foods,BC,4,3,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_coverage_and_guard_mix_snack_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_coverage_and_guard_mix_snack_foods_bc.json,pending_physical_execution,BC,snack_foods,coverage_and_guard_mix,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_coverage_and_guard_mix_canned_foods_bc,O_FM_A_COVERAGE_AND_GUARD_MIX_CANNED_FOODS_BC,foodmart,foodmart,12,coverage_and_guard_mix,Canned Foods,BC,4,3,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_coverage_and_guard_mix_canned_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_coverage_and_guard_mix_canned_foods_bc.json,pending_physical_execution,BC,canned_foods,coverage_and_guard_mix,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
fm_a_coverage_and_guard_mix_frozen_foods_bc,O_FM_A_COVERAGE_AND_GUARD_MIX_FROZEN_FOODS_BC,foodmart,foodmart,12,coverage_and_guard_mix,Frozen Foods,BC,4,3,2,experiments/article/real_execution/foodmart_campaign_a_library/objectives/objective_fm_a_coverage_and_guard_mix_frozen_foods_bc.json,experiments/article/real_execution/foodmart_campaign_a_library/scenarios/fm_a_coverage_and_guard_mix_frozen_foods_bc.json,pending_physical_execution,BC,frozen_foods,coverage_and_guard_mix,excluded_positive_target_state,BC is not runtime-feasible as a positive FoodMart target state
