"step_index","source_key","executed_order_in_source","declared_order","execution_order_global","query_id","query_label","formal_sat","failed_sat_clauses","ceval","delta_phi","phi_leq_t","decision","reason_code","nvac_method"
"1","adventureworks_sales_margin_territory_q1_q6","1","1","1","AW_Q1_ALLOW_SALES_AMOUNT_MONTH_TERRITORY","AW Q1 — ALLOW SalesAmount by month and territory","true","","aw_real_c1_sales_amount","0.3333333333333333","0.3333333333333333","ALLOW","ALLOW_NEW_TOTAL","hybrid_probe"
"2","adventureworks_sales_margin_territory_q1_q6","2","2","2","AW_Q2_ALLOW_TOTAL_PRODUCT_COST_MONTH_TERRITORY","AW Q2 — ALLOW TotalProductCost by month and territory","true","","aw_real_c2_total_product_cost","0.3333333333333333","0.6666666666666666","ALLOW","ALLOW_NEW_TOTAL","hybrid_probe"
"3","adventureworks_sales_margin_territory_q1_q6","3","3","3","AW_Q3_ALLOW_GROSS_MARGIN_MONTH_TERRITORY","AW Q3 — ALLOW GrossMargin by month and territory","true","","aw_real_c3_gross_margin","0.3333333333333333","1","ALLOW","ALLOW_NEW_TOTAL","hybrid_probe"
"4","adventureworks_sales_margin_territory_q1_q6","4","4","4","AW_Q4_BLOCK_OUT_OF_OBJECTIVE_CATEGORY","AW Q4 — BLOCK Accessories instead of Bikes","true","","","0","1","BLOCK","BLOCK_OUT_OF_OBJECTIVE_SCOPE","hybrid_probe"
"5","adventureworks_sales_margin_territory_q1_q6","5","5","5","AW_Q5_BLOCK_BAD_GRAIN_YEAR","AW Q5 — BLOCK Year grain instead of Month grain","false","grain_ok","","0","1","BLOCK","BLOCK_GRAIN_MISMATCH","hybrid_probe"
"6","adventureworks_sales_margin_territory_q1_q6","6","6","6","AW_Q6_BLOCK_REDUNDANT_SALES_AMOUNT","AW Q6 — BLOCK redundant SalesAmount after Q1","true","","","0","1","BLOCK","BLOCK_REDUNDANT_DPHI_ZERO","hybrid_probe"
