phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000075/rep_004_seed_1126922093::step_0009,level_000075/rep_004_seed_1126922093,75,4,1126922093,8,9,Q009,8,True,907496,0.907496,920118,0.920118,8df169bd9cef49ae575ea8662518999f9fab96af1f1f1992c770ed9b33adb502,True
warmup,0,1,2,level_000075/rep_004_seed_1126922093::step_0023,level_000075/rep_004_seed_1126922093,75,4,1126922093,22,23,Q023,22,True,496705,0.496705,500146,0.500146,3fe00093e845f18dd3e6f909681d8ab69fbfdc8814cd21bfad39fb4b1a5e2939,True
warmup,0,2,3,level_000075/rep_004_seed_1126922093::step_0004,level_000075/rep_004_seed_1126922093,75,4,1126922093,3,4,Q004,3,True,797176,0.797176,794372,0.794372,0b945585d3756d2aeaa8db84ade5ea808c3d09ea6553bbec14846cf3e3aedbf4,True
warmup,0,3,4,level_000050/rep_004_seed_1126922093::step_0022,level_000050/rep_004_seed_1126922093,50,4,1126922093,21,22,Q022,21,True,874644,0.874644,879159,0.879159,a452f04bb5d5a2b76b342924666ba8b67b32a0f2fe40c5d43a6487f7830e9698,True
warmup,0,4,5,level_000025/rep_004_seed_1126922093::step_0013,level_000025/rep_004_seed_1126922093,25,4,1126922093,12,13,Q013,12,True,914217,0.914217,918708,0.918708,19f3b63ed0206b1549543e5c970c270ec9602c43cd4197ff8a2585f8932d9abd,True
warmup,0,5,6,level_000075/rep_004_seed_1126922093::step_0018,level_000075/rep_004_seed_1126922093,75,4,1126922093,17,18,Q018,17,True,932648,0.932648,937357,0.937357,9f3c513028b17dbf338599314ab9525f38a873f71830da4cff67488baed90f61,True
warmup,0,6,7,level_000050/rep_004_seed_1126922093::step_0010,level_000050/rep_004_seed_1126922093,50,4,1126922093,9,10,Q010,9,True,436717,0.436717,439738,0.439738,6dba6f5bc8db3a9d07603487b3f786e01d5f187d6a41d8b0d08145fb658bf334,True
warmup,0,7,8,level_000100/rep_004_seed_1126922093::step_0023,level_000100/rep_004_seed_1126922093,100,4,1126922093,22,23,Q023,22,True,948477,0.948477,905457,0.905457,2733a8360646528310fd71c6fa751d56c0f7b2eaac66157f20e22206050a16c3,True
warmup,0,8,9,level_000100/rep_004_seed_1126922093::step_0001,level_000100/rep_004_seed_1126922093,100,4,1126922093,0,1,Q001,0,True,940983,0.940983,944790,0.94479,e0042784f7294b190c23be93468c69afef7a253b26f87f3e587f0ad3bda0d495,True
warmup,0,9,10,level_000025/rep_004_seed_1126922093::step_0020,level_000025/rep_004_seed_1126922093,25,4,1126922093,19,20,Q020,19,True,446664,0.446664,449616,0.449616,65fca948b38249add467285690fdb14695fd859c1bc3dbfd1b75f0211659461d,True
warmup,0,10,11,level_000050/rep_004_seed_1126922093::step_0005,level_000050/rep_004_seed_1126922093,50,4,1126922093,4,5,Q005,4,True,469009,0.469009,472118,0.472118,61c324f6d33b146f9741c68e95faebfa828ac6f901404bc2e0d2f45956f2480b,True
warmup,0,11,12,level_000050/rep_004_seed_1126922093::step_0018,level_000050/rep_004_seed_1126922093,50,4,1126922093,17,18,Q018,17,True,435675,0.435675,438987,0.438987,97a42e3a5818e4280badcd0326be7599941dfbbd3590937dac4127bf5a6af89d,True
warmup,0,12,13,level_000100/rep_004_seed_1126922093::step_0011,level_000100/rep_004_seed_1126922093,100,4,1126922093,10,11,Q011,10,True,511203,0.511203,514323,0.514323,85c66cbeacc19f150ad484e2ce024bb1a845c86992586c4d7145eb7ea99a26a3,True
warmup,0,13,14,level_000050/rep_004_seed_1126922093::step_0001,level_000050/rep_004_seed_1126922093,50,4,1126922093,0,1,Q001,0,True,521173,0.521173,523634,0.523634,186e9434973ad1750913c03fe9caa5bffb0bf1ef308e4ae32682c262ea3d883a,True
warmup,0,14,15,level_000050/rep_004_seed_1126922093::step_0002,level_000050/rep_004_seed_1126922093,50,4,1126922093,1,2,Q002,1,True,463152,0.463152,466062,0.466062,9f8ba9d1be799350088bc0fb4c7a48fa39768d17da02d8fb071ca843185b67cf,True
warmup,0,15,16,level_000025/rep_004_seed_1126922093::step_0001,level_000025/rep_004_seed_1126922093,25,4,1126922093,0,1,Q001,0,True,513095,0.513095,515493,0.515493,9f329157541facae3aa373562cbee5415abae745dc34ff771a346d4e4d42ebff,True
warmup,0,16,17,level_000050/rep_004_seed_1126922093::step_0020,level_000050/rep_004_seed_1126922093,50,4,1126922093,19,20,Q020,19,True,434349,0.434349,437164,0.437164,49462c930fb14f82400d619c4b3e3788ed9c695442693b32f73c626daa7bb499,True
warmup,0,17,18,level_000075/rep_004_seed_1126922093::step_0019,level_000075/rep_004_seed_1126922093,75,4,1126922093,18,19,Q019,18,True,482313,0.482313,485659,0.485659,ea7d58feb63fa2f077a12b4eeb4447d9bc755ccaad6ca2def79d3fb844c0c508,True
warmup,0,18,19,level_000025/rep_004_seed_1126922093::step_0005,level_000025/rep_004_seed_1126922093,25,4,1126922093,4,5,Q005,4,True,461628,0.461628,464200,0.4642,ec653798f753d0461e12dd0b84e29a3f186ef530cede6daacd1d82b7ff3800a4,True
warmup,0,19,20,level_000075/rep_004_seed_1126922093::step_0007,level_000075/rep_004_seed_1126922093,75,4,1126922093,6,7,Q007,6,True,454631,0.454631,457311,0.457311,7c1b69d8217eed7662e3c98d7cc9180f535a734ee26499d0721d90cb5c5c1772,True
warmup,0,20,21,level_000100/rep_004_seed_1126922093::step_0010,level_000100/rep_004_seed_1126922093,100,4,1126922093,9,10,Q010,9,True,435128,0.435128,438403,0.438403,4515133a17359e5d38a7f26c9cd2682c5f14e613ac67b6bc2d0a044f9f778d79,True
warmup,0,21,22,level_000025/rep_004_seed_1126922093::step_0018,level_000025/rep_004_seed_1126922093,25,4,1126922093,17,18,Q018,17,True,435302,0.435302,438001,0.438001,e2fa6b1fbcf11c58ec39dcfef58bf8901ce690951ab4d15b6da5d562507cc360,True
warmup,0,22,23,level_000050/rep_004_seed_1126922093::step_0004,level_000050/rep_004_seed_1126922093,50,4,1126922093,3,4,Q004,3,True,445879,0.445879,448507,0.448507,cc456131c6e9dd256339341ba8fd4fd834e9084afe22f14e02772069a314d157,True
warmup,0,23,24,level_000025/rep_004_seed_1126922093::step_0014,level_000025/rep_004_seed_1126922093,25,4,1126922093,13,14,Q014,13,True,922511,0.922511,913578,0.913578,fbbcea90ce14c22e7e98f3af1e33ff4210812840879f5103e313c52e0613efe4,True
warmup,0,24,25,level_000075/rep_004_seed_1126922093::step_0008,level_000075/rep_004_seed_1126922093,75,4,1126922093,7,8,Q008,7,True,460294,0.460294,463347,0.463347,0f2b8f05df32b9bd4b050166d6b95762d85552b5fa44e3f16f75db629ee5206e,True
warmup,0,25,26,level_000025/rep_004_seed_1126922093::step_0023,level_000025/rep_004_seed_1126922093,25,4,1126922093,22,23,Q023,22,True,442287,0.442287,445176,0.445176,cdff4cf1bcd09ed07b7e1ffdf55dbb075558723b4b528ce6ee3a1c4995fd804a,True
warmup,0,26,27,level_000075/rep_004_seed_1126922093::step_0003,level_000075/rep_004_seed_1126922093,75,4,1126922093,2,3,Q003,2,True,459777,0.459777,462241,0.462241,bb19f4008f9d486cd9be1b8c4ffe13fed6654a68d3ae2ef1a92a3c1bf50b0a6c,True
warmup,0,27,28,level_000100/rep_004_seed_1126922093::step_0019,level_000100/rep_004_seed_1126922093,100,4,1126922093,18,19,Q019,18,True,472993,0.472993,475390,0.47539,b770e54314d01d7ae7fa58b9b5f2a5abc98a9bfeff2d1325726fb60192ac6244,True
warmup,0,28,29,level_000100/rep_004_seed_1126922093::step_0003,level_000100/rep_004_seed_1126922093,100,4,1126922093,2,3,Q003,2,True,472632,0.472632,475078,0.475078,fe5ca0bcf5e3958f76b519ed0d2955e628f39983834da0bf75e5555957acc9e1,True
