phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000012/rep_003_seed_796786883::step_0002,level_000012/rep_003_seed_796786883,12,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,560140,0.56014,565543,0.565543,8f3e28b9c6c92bb2b4bd0ee6f75372d54ee5e9b8dc045daebc6584b44bf98e0b,True
warmup,0,1,2,level_000024/rep_003_seed_796786883::step_0002,level_000024/rep_003_seed_796786883,24,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,538480,0.53848,541530,0.54153,c823106e39ac9641f32e45865bf96b866eb464bdc431ba29cfc2ace57aeb4e44,True
warmup,0,2,3,level_000024/rep_003_seed_796786883::step_0001,level_000024/rep_003_seed_796786883,24,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,522064,0.522064,524685,0.524685,f0f171b61f63d2b5beedca3c25757da51011919ddf081fb0153286020efd5780,True
warmup,0,3,4,level_000006/rep_003_seed_796786883::step_0002,level_000006/rep_003_seed_796786883,6,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,530989,0.530989,535339,0.535339,301e9bded793a411eb7e815465ac15a1e22288a320d9a2402428099c1b47dfea,True
warmup,0,4,5,level_000012/rep_003_seed_796786883::step_0001,level_000012/rep_003_seed_796786883,12,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,396178,0.396178,398619,0.398619,851b0412cfd7ce24967676eef5a423ec7687418f1a1273f2bdebff13e5dfcbfd,True
warmup,0,5,6,level_000006/rep_003_seed_796786883::step_0001,level_000006/rep_003_seed_796786883,6,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,366784,0.366784,361191,0.361191,15337a4dfcdc88b308817cbbe8d04f78664b34f8fe021515779243ba08ee6853,True
warmup,1,0,7,level_000024/rep_003_seed_796786883::step_0002,level_000024/rep_003_seed_796786883,24,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,488204,0.488204,491155,0.491155,c823106e39ac9641f32e45865bf96b866eb464bdc431ba29cfc2ace57aeb4e44,True
warmup,1,1,8,level_000024/rep_003_seed_796786883::step_0001,level_000024/rep_003_seed_796786883,24,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,525748,0.525748,528356,0.528356,f0f171b61f63d2b5beedca3c25757da51011919ddf081fb0153286020efd5780,True
warmup,1,2,9,level_000006/rep_003_seed_796786883::step_0002,level_000006/rep_003_seed_796786883,6,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,285009,0.285009,287326,0.287326,301e9bded793a411eb7e815465ac15a1e22288a320d9a2402428099c1b47dfea,True
warmup,1,3,10,level_000012/rep_003_seed_796786883::step_0001,level_000012/rep_003_seed_796786883,12,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,385642,0.385642,388355,0.388355,851b0412cfd7ce24967676eef5a423ec7687418f1a1273f2bdebff13e5dfcbfd,True
warmup,1,4,11,level_000006/rep_003_seed_796786883::step_0001,level_000006/rep_003_seed_796786883,6,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,330259,0.330259,332685,0.332685,15337a4dfcdc88b308817cbbe8d04f78664b34f8fe021515779243ba08ee6853,True
warmup,1,5,12,level_000012/rep_003_seed_796786883::step_0002,level_000012/rep_003_seed_796786883,12,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,332185,0.332185,334478,0.334478,8f3e28b9c6c92bb2b4bd0ee6f75372d54ee5e9b8dc045daebc6584b44bf98e0b,True
warmup,2,0,13,level_000024/rep_003_seed_796786883::step_0001,level_000024/rep_003_seed_796786883,24,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,531781,0.531781,534388,0.534388,f0f171b61f63d2b5beedca3c25757da51011919ddf081fb0153286020efd5780,True
warmup,2,1,14,level_000006/rep_003_seed_796786883::step_0002,level_000006/rep_003_seed_796786883,6,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,291543,0.291543,294237,0.294237,301e9bded793a411eb7e815465ac15a1e22288a320d9a2402428099c1b47dfea,True
warmup,2,2,15,level_000012/rep_003_seed_796786883::step_0001,level_000012/rep_003_seed_796786883,12,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,686783,0.686783,695980,0.69598,851b0412cfd7ce24967676eef5a423ec7687418f1a1273f2bdebff13e5dfcbfd,True
warmup,2,3,16,level_000006/rep_003_seed_796786883::step_0001,level_000006/rep_003_seed_796786883,6,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,364361,0.364361,367218,0.367218,15337a4dfcdc88b308817cbbe8d04f78664b34f8fe021515779243ba08ee6853,True
warmup,2,4,17,level_000012/rep_003_seed_796786883::step_0002,level_000012/rep_003_seed_796786883,12,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,329463,0.329463,331804,0.331804,8f3e28b9c6c92bb2b4bd0ee6f75372d54ee5e9b8dc045daebc6584b44bf98e0b,True
warmup,2,5,18,level_000024/rep_003_seed_796786883::step_0002,level_000024/rep_003_seed_796786883,24,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,468117,0.468117,470500,0.4705,c823106e39ac9641f32e45865bf96b866eb464bdc431ba29cfc2ace57aeb4e44,True
warmup,3,0,19,level_000006/rep_003_seed_796786883::step_0002,level_000006/rep_003_seed_796786883,6,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,289412,0.289412,292043,0.292043,301e9bded793a411eb7e815465ac15a1e22288a320d9a2402428099c1b47dfea,True
warmup,3,1,20,level_000012/rep_003_seed_796786883::step_0001,level_000012/rep_003_seed_796786883,12,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,417686,0.417686,420405,0.420405,851b0412cfd7ce24967676eef5a423ec7687418f1a1273f2bdebff13e5dfcbfd,True
warmup,3,2,21,level_000006/rep_003_seed_796786883::step_0001,level_000006/rep_003_seed_796786883,6,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,369671,0.369671,372537,0.372537,15337a4dfcdc88b308817cbbe8d04f78664b34f8fe021515779243ba08ee6853,True
warmup,3,3,22,level_000012/rep_003_seed_796786883::step_0002,level_000012/rep_003_seed_796786883,12,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,334922,0.334922,337218,0.337218,8f3e28b9c6c92bb2b4bd0ee6f75372d54ee5e9b8dc045daebc6584b44bf98e0b,True
warmup,3,4,23,level_000024/rep_003_seed_796786883::step_0002,level_000024/rep_003_seed_796786883,24,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,566449,0.566449,569386,0.569386,c823106e39ac9641f32e45865bf96b866eb464bdc431ba29cfc2ace57aeb4e44,True
warmup,3,5,24,level_000024/rep_003_seed_796786883::step_0001,level_000024/rep_003_seed_796786883,24,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,508113,0.508113,510725,0.510725,f0f171b61f63d2b5beedca3c25757da51011919ddf081fb0153286020efd5780,True
warmup,4,0,25,level_000012/rep_003_seed_796786883::step_0001,level_000012/rep_003_seed_796786883,12,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,429474,0.429474,432364,0.432364,851b0412cfd7ce24967676eef5a423ec7687418f1a1273f2bdebff13e5dfcbfd,True
warmup,4,1,26,level_000006/rep_003_seed_796786883::step_0001,level_000006/rep_003_seed_796786883,6,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,329620,0.32962,331589,0.331589,15337a4dfcdc88b308817cbbe8d04f78664b34f8fe021515779243ba08ee6853,True
warmup,4,2,27,level_000012/rep_003_seed_796786883::step_0002,level_000012/rep_003_seed_796786883,12,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,387009,0.387009,390024,0.390024,8f3e28b9c6c92bb2b4bd0ee6f75372d54ee5e9b8dc045daebc6584b44bf98e0b,True
warmup,4,3,28,level_000024/rep_003_seed_796786883::step_0002,level_000024/rep_003_seed_796786883,24,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,907602,0.907602,912146,0.912146,c823106e39ac9641f32e45865bf96b866eb464bdc431ba29cfc2ace57aeb4e44,True
warmup,4,4,29,level_000024/rep_003_seed_796786883::step_0001,level_000024/rep_003_seed_796786883,24,3,796786883,0,1,step-0001-sales-sum-region-01-2010,0,True,521822,0.521822,524382,0.524382,f0f171b61f63d2b5beedca3c25757da51011919ddf081fb0153286020efd5780,True
warmup,4,5,30,level_000006/rep_003_seed_796786883::step_0002,level_000006/rep_003_seed_796786883,6,3,796786883,1,2,step-0002-sales-sum-region-02-2013,1,True,294899,0.294899,297299,0.297299,301e9bded793a411eb7e815465ac15a1e22288a320d9a2402428099c1b47dfea,True
