execution_id,campaign_id,factor,factor_level,replication_index,seed,canonical_instance_id,objective_id,session_id,status,step_count,successful_step_count,failed_step_count,sat_fail_count,real_empty_count,ceval_empty_count,phi_final,phi_weighted_final,auc_phi,evaluator_latency_p50_ms,evaluator_latency_p95_ms,evaluator_latency_p99_ms,configuration_digest,instance_digest,semantic_digest
e3-virtual-node-count-stage10-rep_005-strict-common-v1,virtual_node_count_stage10_c4,virtual_node_count,6,5,809989256,level_000006/rep_005_seed_809989256,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L6_R005,S_E3_VIRTUAL_NODE_COUNT_STAGE10_REP_005_STRICT_COMMON::level_000006/rep_005_seed_809989256,success,2,2,0,0,0,0,0.25,0.25,0.25,0.431823,0.517492,0.525107,6b957c0a5350ccb466eb1d5da5a6c387740cba4fbf0456f1bd2e7fb1a792a312,25f18d6eb89ca86e9efc261c30b2e8d68a3192947db7393ccf6bbdadedbf4a73,433545915e792be05c85e154106477cfa9b862d6a0212bc5c84ef898c7fc9e6a
e3-virtual-node-count-stage10-rep_005-strict-common-v1,virtual_node_count_stage10_c4,virtual_node_count,12,5,809989256,level_000012/rep_005_seed_809989256,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L12_R005,S_E3_VIRTUAL_NODE_COUNT_STAGE10_REP_005_STRICT_COMMON::level_000012/rep_005_seed_809989256,success,2,2,0,0,0,0,0.25,0.25,0.25,0.378796,0.403378,0.405563,e50049efd863ecde3fdeac87aed3145cd2c2ce7fde1b7a6978dc853b53c50c62,5f3ddc5df1777a0bf836f5f825462178c5c6c64b6fdf3bcac4673a25cfd68c0f,ee90c39e7a394fd117ea163b2a8a6226f2406c71a5e44588ac4219ff6060251a
e3-virtual-node-count-stage10-rep_005-strict-common-v1,virtual_node_count_stage10_c4,virtual_node_count,24,5,809989256,level_000024/rep_005_seed_809989256,O_VIRTUAL_NODE_COUNT_STAGE10_C4_VIRTUAL_NODE_COUNT_L24_R005,S_E3_VIRTUAL_NODE_COUNT_STAGE10_REP_005_STRICT_COMMON::level_000024/rep_005_seed_809989256,success,2,2,0,0,0,0,0.25,0.25,0.25,0.830013,0.991927,1.006319,a6dc757b6507c13ac097a0e4201c30409ba6d5bec2143295180aa92ef03ac1d2,0f0f9f94dcb311d28e36708c7e379e7a9709274cad1ff10935333eddd450775e,0aedc998a20419f3048bbf5f9ead3955c73c789c24f64455fdc423f6d8d42be4
