policy,n_sessions,phi_final_mean,phi_final_ci_low,phi_final_ci_high,auc_phi_mean,auc_phi_ci_low,auc_phi_ci_high,false_allow_rate_mean,false_allow_rate_ci_low,false_allow_rate_ci_high,non_contrib_exec_rate_mean,non_contrib_exec_rate_ci_low,non_contrib_exec_rate_ci_high
ablation_ceval_any_intersection,450,0.296296,0.255556,0.336296,0.191358,0.164198,0.218025,0.111111,0.082222,0.142222,0.111111,0.082222,0.142222
ablation_no_real,450,0.296296,0.255556,0.336296,0.191358,0.164198,0.218025,0.111111,0.082222,0.142222,0.111111,0.082222,0.142222
ablation_no_sat,450,0.296296,0.255556,0.336296,0.191358,0.164198,0.218025,0.0,0.0,0.0,0.0,0.0,0.0
baseline_measure_overlap,450,0.296296,0.255556,0.336296,0.191358,0.164198,0.218025,0.592593,0.548889,0.637037,0.592593,0.548889,0.637037
baseline_naive,450,0.296296,0.255556,0.336296,0.191358,0.164198,0.218025,0.703704,0.663704,0.744444,0.703704,0.663704,0.744444
baseline_random_matched,450,0.180741,0.153333,0.20963,0.116543,0.097284,0.136296,0.411111,0.366667,0.457037,0.424444,0.37963,0.470741
mcad,450,0.296296,0.255556,0.336296,0.191358,0.164198,0.218025,0.0,0.0,0.0,0.0,0.0,0.0
