mode,step_idx,eval_ms,n_nodes,n_edges,history_len,removed_qp_nodes,snapshot_bytes
no_compaction,1,0.400243,655,809,0,0,
no_compaction,10,0.284663,664,823,0,0,
no_compaction,20,0.274496,674,836,0,0,
no_compaction,30,0.367526,684,850,0,0,
no_compaction,40,0.27699,694,863,0,0,
no_compaction,50,0.273315,704,876,0,0,
no_compaction,60,0.363047,714,890,0,0,
no_compaction,70,0.278562,724,903,0,0,
no_compaction,80,0.278391,734,916,0,0,
no_compaction,90,0.423357,744,930,0,0,
no_compaction,100,0.627039,754,943,0,0,
no_compaction,110,0.561762,764,956,0,0,
no_compaction,120,0.824767,774,970,0,0,
no_compaction,120,0.0,774,970,0,0,569626
keep_last,1,0.680799,655,809,0,0,
keep_last,10,0.805886,662,821,0,1,
keep_last,20,0.448079,662,820,0,1,
keep_last,30,0.759501,662,821,0,1,
keep_last,40,0.787391,662,821,0,1,
keep_last,50,0.476727,662,820,0,1,
keep_last,60,0.648191,662,821,0,1,
keep_last,70,0.61111,662,821,0,1,
keep_last,80,0.458742,662,820,0,1,
keep_last,90,0.366127,662,821,0,1,
keep_last,100,0.284083,662,821,0,1,
keep_last,110,0.27487,662,820,0,1,
keep_last,120,0.371832,662,821,0,1,
keep_last,120,0.0,662,821,0,0,445446
