scale_factor,n_objectives,n_constraints,n_virtual_nodes,n_nodes,n_edges,history_len,steps_per_session,p50_eval_ms,p95_eval_ms,p99_eval_ms,mean_eval_ms,cold_p50_ms,warm_p95_ms,snapshot_ms,snapshot_bytes,peak_build_kib,peak_total_kib
1,3,8,10,55,66,0,12,2.911372,4.318592,6.641977,3.295977,3.090382,4.32533,17.583291,43501,252.771,252.771
5,11,32,42,223,306,0,12,1.566679,2.541466,3.016873,1.744981,1.517193,2.598605,39.811955,207117,239.982,618.82
10,21,62,82,433,606,0,12,1.498528,2.728499,3.118112,1.736593,1.462937,2.777128,86.2125,412597,244.067,1166.304
20,41,122,162,853,1206,0,12,1.774246,3.310394,5.649274,2.013171,1.501628,3.31135,288.200093,822597,453.874,2256.121
40,81,242,322,1693,2406,0,12,1.859573,3.594842,6.447994,2.086921,1.549955,3.594842,351.960872,1642597,894.081,4447.076
