query_hash,scenario_id
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_category_state_profitability_canned_foods_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_category_state_profitability_produce_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_coverage_and_guard_mix_beer_and_wine_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_coverage_and_guard_mix_canned_foods_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_coverage_and_guard_mix_produce_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_sales_profit_month_beer_and_wine_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_sales_profit_month_canned_foods_wa
8ff9106e83ecd3f0bdeb71a06905a00cadba53f5b2c6bca456a8df9db59bf82b,fm_a_sales_profit_month_produce_wa
33c90e5f2f188062d42e0948779f3321f9fe09c31f75a1f154cf29441e6dcf39,fm_a_category_state_profitability_beer_and_wine_wa
33c90e5f2f188062d42e0948779f3321f9fe09c31f75a1f154cf29441e6dcf39,fm_a_coverage_and_guard_mix_beer_and_wine_wa
33c90e5f2f188062d42e0948779f3321f9fe09c31f75a1f154cf29441e6dcf39,fm_a_sales_profit_month_beer_and_wine_wa
33cf5f057d8157655492bd34e2baf012e3992ebac91936a39658a544df19e302,fm_a_category_state_profitability_beer_and_wine_wa
33cf5f057d8157655492bd34e2baf012e3992ebac91936a39658a544df19e302,fm_a_coverage_and_guard_mix_beer_and_wine_wa
33cf5f057d8157655492bd34e2baf012e3992ebac91936a39658a544df19e302,fm_a_sales_profit_month_beer_and_wine_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_category_state_profitability_beer_and_wine_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_category_state_profitability_canned_foods_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_category_state_profitability_produce_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_coverage_and_guard_mix_beer_and_wine_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_coverage_and_guard_mix_canned_foods_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_coverage_and_guard_mix_produce_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_sales_profit_month_beer_and_wine_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_sales_profit_month_canned_foods_wa
21e2877a9aa4f71b9a98ed3240eb374e168b3bf6125b848cded15d5f2d41f071,fm_a_sales_profit_month_produce_wa
bad4dc6baa4cb82c06ccdc67bfdafe11441463e84fef903b5c3873a59584ddf9,fm_a_category_state_profitability_beer_and_wine_wa
bad4dc6baa4cb82c06ccdc67bfdafe11441463e84fef903b5c3873a59584ddf9,fm_a_coverage_and_guard_mix_beer_and_wine_wa
bad4dc6baa4cb82c06ccdc67bfdafe11441463e84fef903b5c3873a59584ddf9,fm_a_sales_profit_month_beer_and_wine_wa
bad4dc6baa4cb82c06ccdc67bfdafe11441463e84fef903b5c3873a59584ddf9,fm_a_unit_sales_month_beer_and_wine_wa
09f3478187da9115e942bd54d3e8151cbc931de48260020cdf03a7676db681fc,fm_a_category_state_profitability_beer_and_wine_wa
09f3478187da9115e942bd54d3e8151cbc931de48260020cdf03a7676db681fc,fm_a_coverage_and_guard_mix_beer_and_wine_wa
09f3478187da9115e942bd54d3e8151cbc931de48260020cdf03a7676db681fc,fm_a_sales_profit_month_beer_and_wine_wa
09f3478187da9115e942bd54d3e8151cbc931de48260020cdf03a7676db681fc,fm_a_unit_sales_month_beer_and_wine_wa
dcc960ebf1e1213abebb0e8879584ac7e2b1cf5db0232ffa3696af0d99b85a25,fm_a_category_state_profitability_beer_and_wine_ca
dcc960ebf1e1213abebb0e8879584ac7e2b1cf5db0232ffa3696af0d99b85a25,fm_a_coverage_and_guard_mix_beer_and_wine_ca
dcc960ebf1e1213abebb0e8879584ac7e2b1cf5db0232ffa3696af0d99b85a25,fm_a_sales_profit_month_beer_and_wine_ca
dcc960ebf1e1213abebb0e8879584ac7e2b1cf5db0232ffa3696af0d99b85a25,fm_a_unit_sales_month_beer_and_wine_ca
d5f369b87cb6675ffd55f92c2d1872ffeb2a7c720df97b89ce7efbfd64fea6a9,fm_a_category_state_profitability_beer_and_wine_ca
d5f369b87cb6675ffd55f92c2d1872ffeb2a7c720df97b89ce7efbfd64fea6a9,fm_a_coverage_and_guard_mix_beer_and_wine_ca
