phase,phase_round,order_position,observation_index,cell_id,canonical_instance_id,factor_level,replication_index,seed,step_position,step_index,step_id,prefix_step_count,fresh_state,wall_latency_ns,wall_latency_ms,cpu_latency_ns,cpu_latency_ms,semantic_digest,semantic_match
warmup,0,0,1,level_000020/rep_000_seed_101::step_0023,level_000020/rep_000_seed_101,20,0,101,22,23,step-0023-noise-invalid_unit,22,True,234308,0.234308,237132,0.237132,397230fca7c5501301945761effbbf024f95ccc7379a9d705bba0538b7b1306f,True
warmup,0,1,2,level_000002/rep_000_seed_101::step_0009,level_000002/rep_000_seed_101,2,0,101,8,9,step-0009-noise-redundant_contribution,8,True,496035,0.496035,482547,0.482547,51a849d60954a158c3791fefad3a71f7a829c18004c5c592176247121a88d56c,True
warmup,0,2,3,level_000002/rep_000_seed_101::step_0031,level_000002/rep_000_seed_101,2,0,101,30,31,step-0031-noise-invalid_time_window,30,True,312601,0.312601,315500,0.3155,bfe23ab358d60a017b18fda716f3572904c2434e5facf1b61cff6268408d76b0,True
warmup,0,3,4,level_000050/rep_000_seed_101::step_0025,level_000050/rep_000_seed_101,50,0,101,24,25,step-0025-noise-insufficient_grain,24,True,291640,0.29164,294498,0.294498,fd1877443783cb23ea0f725b2ea1ff09b974233ff8eaa1216f093a426df9d898,True
warmup,0,4,5,level_000020/rep_000_seed_101::step_0019,level_000020/rep_000_seed_101,20,0,101,18,19,step-0019-noise-invalid_aggregation,18,True,214739,0.214739,217088,0.217088,7d2e0abad62b3d2a1c7a8dc73297ada99a9b335e2977fc76f5413e0391b21baf,True
warmup,0,5,6,level_000005/rep_000_seed_101::step_0007,level_000005/rep_000_seed_101,5,0,101,6,7,step-0007-support-06,6,True,460263,0.460263,462453,0.462453,8de2547f2dbf8c489877b9ad169e86afad88bef47dadabbf34303b7d9d543796,True
warmup,0,6,7,level_000050/rep_000_seed_101::step_0026,level_000050/rep_000_seed_101,50,0,101,25,26,step-0026-support-19,25,True,445173,0.445173,447723,0.447723,63ddeba5bf16fcf4c8b2cf33bc4b1b05eb9b397236cfd6cce7575597a3ead289,True
warmup,0,7,8,level_000001/rep_000_seed_101::step_0008,level_000001/rep_000_seed_101,1,0,101,7,8,step-0008-support-07,7,True,448149,0.448149,450596,0.450596,80e352b0b82fe0c0f67c68f3e6fb7a13d634cd5477fdffa3ac8019554e217771,True
warmup,0,8,9,level_000010/rep_000_seed_101::step_0002,level_000010/rep_000_seed_101,10,0,101,1,2,step-0002-support-01,1,True,926687,0.926687,929841,0.929841,30e132a404d3fcbc55040a331369a8f6f4a108e9567555091a4e89f7dc24eb9f,True
warmup,0,9,10,level_000005/rep_000_seed_101::step_0030,level_000005/rep_000_seed_101,5,0,101,29,30,step-0030-support-22,29,True,458433,0.458433,461020,0.46102,03cde694168cbb791b9ded29108cba9237ec57efb0666a6ac583397256f849fe,True
warmup,0,10,11,level_000010/rep_000_seed_101::step_0016,level_000010/rep_000_seed_101,10,0,101,15,16,step-0016-support-13,15,True,448582,0.448582,451186,0.451186,c2eaf1ccbd4437fc7cd5dc1194213034bfc1d30b09aa14f693df30ac937405f7,True
warmup,0,11,12,level_000001/rep_000_seed_101::step_0006,level_000001/rep_000_seed_101,1,0,101,5,6,step-0006-support-05,5,True,465456,0.465456,468128,0.468128,41cce6f2c0bf63a8eb54cb8d972c4647186c5f1ff4e10a0ae9e8c254069c5bdd,True
warmup,0,12,13,level_000050/rep_000_seed_101::step_0032,level_000050/rep_000_seed_101,50,0,101,31,32,step-0032-support-23,31,True,445724,0.445724,448407,0.448407,93e7bc6169012bb627c2daef5112833b83e90f5f6558a77eeedd034232145c69,True
warmup,0,13,14,level_000010/rep_000_seed_101::step_0022,level_000010/rep_000_seed_101,10,0,101,21,22,step-0022-support-17,21,True,864848,0.864848,868678,0.868678,3c731f6ff97f555bf9a9d1e1a8c6059cf390729b35d6a931e6bee6a3ba500d1b,True
warmup,0,14,15,level_000020/rep_000_seed_101::step_0016,level_000020/rep_000_seed_101,20,0,101,15,16,step-0016-support-13,15,True,452912,0.452912,455641,0.455641,3c8e6af63d52fc86e8b0fbe9788ed9959e4f4c793bab5da71fa0eca6073098c0,True
warmup,0,15,16,level_000002/rep_000_seed_101::step_0028,level_000002/rep_000_seed_101,2,0,101,27,28,step-0028-support-21,27,True,460694,0.460694,463323,0.463323,dd14df253117216d9b6a9697976febb294cee7324c7b54b4834f783e91439f46,True
warmup,0,16,17,level_000010/rep_000_seed_101::step_0029,level_000010/rep_000_seed_101,10,0,101,28,29,step-0029-noise-wrong_measure,28,True,129091,0.129091,131615,0.131615,ec33602e607abefd9e4ffeded5d5fd956f794082f223eb79e0dcb8f6ebdd312c,True
warmup,0,17,18,level_000050/rep_000_seed_101::step_0020,level_000050/rep_000_seed_101,50,0,101,19,20,step-0020-support-15,19,True,904317,0.904317,909247,0.909247,673db39f4bd139fd159ce5e12534ab4c08344cfaed30bda94fcd761942721a1d,True
warmup,0,18,19,level_000050/rep_000_seed_101::step_0024,level_000050/rep_000_seed_101,50,0,101,23,24,step-0024-support-18,23,True,472101,0.472101,474937,0.474937,e92ce2ca9e17047e9c7bcaa295fe0bbedce69c8e5d0b98c631214c0d51019bc0,True
warmup,0,19,20,level_000001/rep_000_seed_101::step_0015,level_000001/rep_000_seed_101,1,0,101,14,15,step-0015-support-12,14,True,463629,0.463629,466035,0.466035,66ab2d1b4adebe835bebdcf13c8d0e53b6cf6fb7dea74d288e749757c8469a30,True
warmup,0,20,21,level_000020/rep_000_seed_101::step_0014,level_000020/rep_000_seed_101,20,0,101,13,14,step-0014-support-11,13,True,438923,0.438923,441278,0.441278,5058761ad3fec7fb926a90c0d4d3713f15123d6e28114f8cfed4e43088e086d5,True
warmup,0,21,22,level_000002/rep_000_seed_101::step_0023,level_000002/rep_000_seed_101,2,0,101,22,23,step-0023-noise-invalid_unit,22,True,226785,0.226785,228950,0.22895,e87b15c3bdd20bd64dfab86063147556e9ac2a2d8f76b417cd2e36b1cebddf34,True
