execution_id,campaign_id,factor,factor_level,replication_index,seed,canonical_instance_id,objective_id,session_id,status,step_count,successful_step_count,failed_step_count,sat_fail_count,real_empty_count,ceval_empty_count,phi_final,phi_weighted_final,auc_phi,evaluator_latency_p50_ms,evaluator_latency_p95_ms,evaluator_latency_p99_ms,configuration_digest,instance_digest,semantic_digest
sa5-objective-count-stage10-rep_006-canonical-v1,objective_count_stage10_c8_nv32,objective_count,1,6,618554674,level_000001/rep_006_seed_618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L1_R006_OBJ0001,sa5-objective-count-stage10-session-rep-006-seed-618554674::level_000001/rep_006_seed_618554674,success,32,32,0,7,7,7,1.0,1.0,0.539062,0.464626,0.696743,0.750526,96837f270be49f253441e338ef96955959b1519ffb43adb6037dcf5157cfe136,fd439029c66b96eaeb57ddd4c4caa561ceb13d918ec6e357dcbb974760496f06,0823963b9560d4c4c8623100e1b962996eab37a0b4518ae5b34b05e41db67814
sa5-objective-count-stage10-rep_006-canonical-v1,objective_count_stage10_c8_nv32,objective_count,2,6,618554674,level_000002/rep_006_seed_618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L2_R006_OBJ0001,sa5-objective-count-stage10-session-rep-006-seed-618554674::level_000002/rep_006_seed_618554674,success,32,32,0,7,7,7,1.0,1.0,0.539062,0.464283,0.542599,0.592931,a4eff4df2debc66fb5ab831e26bea1e1fede38c4408d263920b7e98286c2404c,108488b986fdca662967dc08d7317f4a3a7d805b01fe75056f5641c5e8886d7a,7aa48c759b70fd2a3d8e676a0fd9b5e51461f01a59d4ba66809dca1fee41411b
sa5-objective-count-stage10-rep_006-canonical-v1,objective_count_stage10_c8_nv32,objective_count,5,6,618554674,level_000005/rep_006_seed_618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L5_R006_OBJ0001,sa5-objective-count-stage10-session-rep-006-seed-618554674::level_000005/rep_006_seed_618554674,success,32,32,0,7,7,7,1.0,1.0,0.539062,0.786982,0.990142,1.001043,94f1c18549a3786935ff1d62e1f7595b505b9123441f2107afc2aa140ba8cc2a,47be69d283110d2ab12d005e6232706d022b25f93e16eb8631b8d7bf226745e5,31e63a20f5f46aa24706cf940b60dfd7e1f1d040632462e10d068dc9e018c216
sa5-objective-count-stage10-rep_006-canonical-v1,objective_count_stage10_c8_nv32,objective_count,10,6,618554674,level_000010/rep_006_seed_618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L10_R006_OBJ0001,sa5-objective-count-stage10-session-rep-006-seed-618554674::level_000010/rep_006_seed_618554674,success,32,32,0,7,7,7,1.0,1.0,0.539062,0.458523,0.603249,0.756286,9b96a292c80454ba44ef8aabe73afa22e3160996639cb4a1e4bf5b46e2ad6663,93beb071c6f3e0d54be8e06f0b85e7b7fc5f04a9a75cd856d79e4ad7e03d944f,d4923029211470cd09cda1ea7765fb21a8b129090bb6f8bc6e0592801d23e300
sa5-objective-count-stage10-rep_006-canonical-v1,objective_count_stage10_c8_nv32,objective_count,20,6,618554674,level_000020/rep_006_seed_618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L20_R006_OBJ0001,sa5-objective-count-stage10-session-rep-006-seed-618554674::level_000020/rep_006_seed_618554674,success,32,32,0,7,7,7,1.0,1.0,0.539062,0.461842,0.524811,0.560749,3130eb7ca1d9aa771edd2c0ff147943fc7f2c29d1a22d925f16c0bf19c866231,99cba94bd01ec25547ad1770830079f8fdeb793bd379211cd83ee2c3d752e00b,424ded3d5831a4af7c8e55490801dc7988dcacaa7a80d988f76823f5497732e0
sa5-objective-count-stage10-rep_006-canonical-v1,objective_count_stage10_c8_nv32,objective_count,50,6,618554674,level_000050/rep_006_seed_618554674,O_OBJECTIVE_COUNT_STAGE10_C8_NV32_OBJECTIVE_COUNT_L50_R006_OBJ0001,sa5-objective-count-stage10-session-rep-006-seed-618554674::level_000050/rep_006_seed_618554674,success,32,32,0,7,7,7,1.0,1.0,0.539062,0.468104,0.516026,0.581563,d1d1d9aac1c00364e506aebaba32bfe46c963d06ddeda5ecad60f80f5815f3b7,31bda73f69a96c6486996b8533af3e52ff7de2ce0b7ebbf7a51334ce37c7bf00,8569880ca7d733d7dc7d44ac6262bb4325973d729656b3953ada28f36e96b7ad
